workbook,family_code,name,refers_to,local_sheet_id,hidden
Dean Data Sheet Rev 2.xlsm,DEAN,ShaftConfig_Table,Constraints!$FE$3:$FJ$40,,False
Dean Data Sheet Rev 2.xlsm,DEAN,ShaftMaterial_Table,Constraints!$FL$3:$FP$40,,False
Dean Data Sheet Rev 2.xlsm,DEAN,ShippingGasket_Table,Constraints!$DU$3:$DV$40,,False
Dean Data Sheet Rev 2.xlsm,DEAN,SightGlass_Table,Constraints!$GJ$3:$GK$40,,False
Dean Data Sheet Rev 2.xlsm,DEAN,Size,Pricing!$E$3:$E$163,,False
Dean Data Sheet Rev 2.xlsm,DEAN,Size_Table,Constraints!$C$3:$AV$40,,False
Dean Data Sheet Rev 2.xlsm,DEAN,SpotFacing_Table,Constraints!$CT$3:$CU$40,,False
Dean Data Sheet Rev 2.xlsm,DEAN,Style,Pricing!$C$3:$C$163,,False
Dean Data Sheet Rev 2.xlsm,DEAN,TackWeldRings_Table,Constraints!$EW$3:$EX$40,,False
Dean Data Sheet Rev 2.xlsm,DEAN,Weight__lbs,Pricing!$T$3:$T$1070,,False
Fybroc Nomenclature_V5.xlsm,FYBROC,_xlnm._FilterDatabase,' Motor Assy'!$C$26:$P$728,5,True
Fybroc Nomenclature_V5.xlsm,FYBROC,_xlnm._FilterDatabase,Options!$C$11:$J$107,4,True
Fybroc Nomenclature_V5.xlsm,FYBROC,_xlnm._FilterDatabase,'Pump Options'!$C$14:$Q$138254,2,True
Fybroc Nomenclature_V5.xlsm,FYBROC,_xlnm._FilterDatabase,'Seal Assembly'!$C$13:$J$80,3,True
Fybroc Nomenclature_V5.xlsm,FYBROC,_xlnm._FilterDatabase,'Smart Number'!$D$11:$Y$25,0,True
Fybroc Nomenclature_V5.xlsm,FYBROC,_xleta.VLOOKUP,#NAME?,,True
Fybroc Nomenclature_V5.xlsm,FYBROC,Baseplate_Option,Options!$F$3:$F$4,,False
Fybroc Nomenclature_V5.xlsm,FYBROC,BaseplateHardware,Options!$G$3:$G$5,,False
Fybroc Nomenclature_V5.xlsm,FYBROC,Bearing_Option,'Pump Options'!$J$3:$J$5,,False
Fybroc Nomenclature_V5.xlsm,FYBROC,Casing_Drains,'Pump Options'!$D$3:$D$4,,False
Fybroc Nomenclature_V5.xlsm,FYBROC,Casing_Hardware,'Pump Options'!$H$3:$H$4,,False
Fybroc Nomenclature_V5.xlsm,FYBROC,Coupling_Guard,Options!$E$3:$E$6,,False
Fybroc Nomenclature_V5.xlsm,FYBROC,Coupling_Option,Options!$D$3:$D$4,,False
Fybroc Nomenclature_V5.xlsm,FYBROC,CycloneSep,'Pump Options'!$N$3:$N$4,,False
Fybroc Nomenclature_V5.xlsm,FYBROC,Dynamic_Impeller,'Pump Options'!$O$3:$O$4,,False
Fybroc Nomenclature_V5.xlsm,FYBROC,Efficiency,' Motor Assy'!$M$3:$M$4,,False
Fybroc Nomenclature_V5.xlsm,FYBROC,Enclosure,' Motor Assy'!$L$3:$L$6,,False
Fybroc Nomenclature_V5.xlsm,FYBROC,Flush,'Pump Options'!$M$3:$M$8,,False
Fybroc Nomenclature_V5.xlsm,FYBROC,Frame_Code_Mtr,' Motor Assy'!$K$3:$K$21,,False
Fybroc Nomenclature_V5.xlsm,FYBROC,Gland_Hardware,'Pump Options'!$L$3:$L$7,,False
Fybroc Nomenclature_V5.xlsm,FYBROC,Hertz,' Motor Assy'!$J$3:$J$4,,False
Fybroc Nomenclature_V5.xlsm,FYBROC,Horsepower_Mtr,' Motor Assy'!$G$3:$G$21,,False
Fybroc Nomenclature_V5.xlsm,FYBROC,Impeller_Sleeve,'Pump Options'!$G$3:$G$8,,False
Fybroc Nomenclature_V5.xlsm,FYBROC,Motor_Class,' Motor Assy'!$E$3:$E$4,,False
Fybroc Nomenclature_V5.xlsm,FYBROC,Motor_Manufacturer,' Motor Assy'!$N$3:$N$7,,False
Fybroc Nomenclature_V5.xlsm,FYBROC,Motor_Modifications,Attributes!$R$8:$R$38,,False
Fybroc Nomenclature_V5.xlsm,FYBROC,Motor_Option,' Motor Assy'!$D$3:$D$5,,False
Fybroc Nomenclature_V5.xlsm,FYBROC,Motor_Orientation,' Motor Assy'!$F$3:$F$5,,False
Fybroc Nomenclature_V5.xlsm,FYBROC,NamePlate2,Options!$H$3:$H$4,,False
Fybroc Nomenclature_V5.xlsm,FYBROC,Power_Frame_Hardware,'Pump Options'!$K$3:$K$4,,False
Fybroc Nomenclature_V5.xlsm,FYBROC,Pump_Elastomers,'Pump Options'!$I$3:$I$5,,False
Fybroc Nomenclature_V5.xlsm,FYBROC,RPM,' Motor Assy'!$H$3:$H$6,,False
Fybroc Nomenclature_V5.xlsm,FYBROC,Seal_Elastomers,'Seal Assembly'!$G$3:$G$6,,False
Fybroc Nomenclature_V5.xlsm,FYBROC,Seal_Guard,'Seal Assembly'!$H$3:$H$4,,False
Fybroc Nomenclature_V5.xlsm,FYBROC,Seal_Materials,'Seal Assembly'!$F$3:$F$5,,False
Fybroc Nomenclature_V5.xlsm,FYBROC,Seal_Option,'Seal Assembly'!$D$3:$D$7,,False
Fybroc Nomenclature_V5.xlsm,FYBROC,Seal_Type,'Seal Assembly'!$E$3:$E$8,,False
Fybroc Nomenclature_V5.xlsm,FYBROC,Shaft_Material,'Pump Options'!$F$3:$F$4,,False
Fybroc Nomenclature_V5.xlsm,FYBROC,Suction_Discharge,'Pump Options'!$E$3:$E$4,,False
Fybroc Nomenclature_V5.xlsm,FYBROC,Testing,Attributes!$U$8:$U$98,,False
Fybroc Nomenclature_V5.xlsm,FYBROC,ValidTrim,Attributes!$AW$7:$AW$46,,False
Fybroc Nomenclature_V5.xlsm,FYBROC,Voltage,' Motor Assy'!$I$3:$I$5,,False
Price Estimator-Fybroc.xlsm,FYBROC,_xlnm._FilterDatabase,Batch_Descriptions!#REF!,32,True
Price Estimator-Fybroc.xlsm,FYBROC,_xlnm._FilterDatabase,'Mod Master List'!$A$3:$E$527,13,True
Price Estimator-Fybroc.xlsm,FYBROC,_xlnm._FilterDatabase,'Mod Master List'!$A$3:$E$3,16,True
Price Estimator-Fybroc.xlsm,FYBROC,_xleta.AND,#NAME?,,True
Price Estimator-Fybroc.xlsm,FYBROC,_xleta.CHAR,#NAME?,,True
Price Estimator-Fybroc.xlsm,FYBROC,_xleta.IF,#NAME?,,True
Price Estimator-Fybroc.xlsm,FYBROC,_xleta.IFERROR,#NAME?,,True
Price Estimator-Fybroc.xlsm,FYBROC,_xleta.ISERROR,#NAME?,,True
Price Estimator-Fybroc.xlsm,FYBROC,_xleta.LEFT,#NAME?,,True
Price Estimator-Fybroc.xlsm,FYBROC,_xleta.N,#NAME?,,True
Price Estimator-Fybroc.xlsm,FYBROC,_xleta.NOT,#NAME?,,True
Price Estimator-Fybroc.xlsm,FYBROC,_xleta.PRICE,#NAME?,,True
Price Estimator-Fybroc.xlsm,FYBROC,_xleta.REPLACE,#NAME?,,True
Price Estimator-Fybroc.xlsm,FYBROC,_xleta.RIGHT,#NAME?,,True
Price Estimator-Fybroc.xlsm,FYBROC,_xleta.SERIES,#NAME?,,True
Price Estimator-Fybroc.xlsm,FYBROC,_xleta.SHEET,#NAME?,,True
Price Estimator-Fybroc.xlsm,FYBROC,_xleta.SINGLE,#NAME?,,True
Price Estimator-Fybroc.xlsm,FYBROC,_xleta.T,#NAME?,,True
Price Estimator-Fybroc.xlsm,FYBROC,_xleta.TIME,#NAME?,,True
Price Estimator-Fybroc.xlsm,FYBROC,_xleta.VALUE,#NAME?,,True
Price Estimator-Fybroc.xlsm,FYBROC,ANSISize,"[1]!Table4[[#Headers],[ANSI Size]]",7,False
