family_code,workbook_role,workbook_name,name,scope,refers_to,resolved_sheet,resolved_range,row_count,column_count
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,SpotFacing_Table,workbook,Constraints!$CT$3:$CU$40,Constraints,$CT$3:$CU$40,38,2
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Style,workbook,Pricing!$C$3:$C$163,Pricing,$C$3:$C$163,161,1
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,TackWeldRings_Table,workbook,Constraints!$EW$3:$EX$40,Constraints,$EW$3:$EX$40,38,2
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Weight__lbs,workbook,Pricing!$T$3:$T$1070,Pricing,$T$3:$T$1070,1068,1
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,_xleta.VLOOKUP,workbook,#NAME?,,,,
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Baseplate_Option,workbook,Options!$F$3:$F$4,Options,$F$3:$F$4,2,1
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,BaseplateHardware,workbook,Options!$G$3:$G$5,Options,$G$3:$G$5,3,1
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Bearing_Option,workbook,'Pump Options'!$J$3:$J$5,Pump Options,$J$3:$J$5,3,1
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Casing_Drains,workbook,'Pump Options'!$D$3:$D$4,Pump Options,$D$3:$D$4,2,1
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Casing_Hardware,workbook,'Pump Options'!$H$3:$H$4,Pump Options,$H$3:$H$4,2,1
FYBROC,configuration_and_hex_mapping,Fybroc Nomenclature_V5.xlsm,Coupling_Guard,workbook,Options!$E$3:$E$6,Options,$E$3:$E$6,4,1
